0,(재)강원정보문화진흥원,16044.0,34,136,전기시설+상하수도시설+화장실+샤워실,0
1,(주)데일리랜드,2999.0,14,56,전기시설+상하수도시설+화장실+샤워실,0
2,(주)양촌여울체험캠프,13974.0,14,50,전기시설+하수도시설+샤워실+개수대+물놀이놀이터+다목적구장+잔디광장+매점+피자+쿠키체험,0
3,(주)양촌여울체험캠프,13974.0,14,50,전기시설+하수도시설+샤워실+개수대+물놀이놀이터+다목적구장+잔디광장+매점+피자+쿠키체험,0
4,353캠핑,,58,232,"화장실, 샤워실, 매점",0
5,f1오토캠핑장,10000.0,40,160,"화장실, 취사시설, 샤워장",0
6,VIP오토캠핑장,,14,100,"전기시설,샤워실,개수대,매점",0
7,VIP오토캠핑장,2552.0,15,60,화장실+게수대+샤워실,0
8,가래골농원 캠핑장,,66,264,"화장실, 샤워실, 매점",0
9,가야권역 소리마실 영농조합법인,5900.0,42,100,전기시설+상하수도시설,0
10,가포수변오토캠핑장,26193.0,30,120,전기시설+상하수도시설+샤워실+놀이마당+다목적운동장+바닥분수+매점,0
11,가포수변오토캠핑장,26193.0,30,120,전기시설+상하수도시설+샤워실+놀이마당+다목적운동장+바닥분수+매점,0
12,갈천오토캠핑장,8874.0,100,300,화장실1+샤워실2,0
13,강릉경포카라반파크,968.0,16,64,전기시설+상하수도시설,0
14,거창 국민여가캠핑장,9960.0,14,56,"전기시설, 상하수도시설,샤워실",0
15,검디 관광농원 야영장,14087.0,32,96,상수도+전기시설+화장실,0
16,경포대오토캠핑장,1532.0,16,64,전기시설+상하수도시설,0
17,계룡산동학사자동차야영장,4585.0,22,88,화장실+취사장+샤워장,0
18,계방산 오토캠핑장,,58,400,"계절매점,샤워실",0
19,고산무궁화오토캠핑장,64300.0,81,400,상하수도시설+전기시설+방문자센터+주차장+취사장+공동화장실+샤워실+카라반 등,0
20,고성 다이노 캠핑장,4953.0,34,136,"화장실, 샤워실, 취사장",0
21,고성 장좌리 캠핑장,4101.0,24,96,"화장실, 샤워실, 취사장",0
22,고성다이노캠핑장,4953.0,34,136,"화장실, 샤워실, 취사장",0
23,고성패밀리캠핑장,9841.0,31,124,"화장실, 샤워실, 취사장",0
24,고성패밀리캠핑장,9841.0,31,124,"화장실, 샤워실, 취사장",0
25,고운힐링팜,,3,130,전기시설+상하수도시설,0
26,고인돌 오토캠핑장,7072.0,10,20,화장실+취사시설+,0
27,고창오토캠핑리조트,18383.0,50,150,"전기, 화장실, 취사시설",0
28,곤충나라 사과테마파크 오토캠핑장,7059.0,20,80,전기시설+상하수도시설+화장실+샤워실,0
29,공작산계곡 오토캠핑장,4447.0,10,40,화장실+취사시설+,0
30,광주시민의숲 야영장,9000.0,19,205,전기시설+상하수도시설+샤워실+취사장,0
31,광주패밀리랜드 카라반캠핑장,8222.5,1,130,전기시설+상하수도시설+취사장+카라반,0
32,괴강국민여가캠팽장,16885.0,57,200,매점+샤워실+음수대,0
33,구룡자동차야영장,5500.0,68,272,화장실+취사장+샤워장,0
34,구리 토평 가족캠핑장,4882.0,29,194,화장실+샤워실+식기세척장+전기시설,0
35,구만동 오토캠핑장,1000.0,7,0,전기시설+상하수도시설+샤워실,0
36,구산오토캠핑장,28886.0,15,100,"상하수도,전기,화장실,취사시설,샤워실",0
37,구천계곡야영장,,22,88,"화장실,샤워실,매점,개수대",0
38,구천계곡야영장,3990.0,22,88,화장실+게수대+샤워실,0
39,국립미천골자연휴양림,10706.0,84,420,화장실2+샤워실1,0
40,국립유명산자연휴양림,3783.0,20,80,전기시설+상하수도시설+샤워실+화장실,0
41,궁농오토캠핑장,6616.0,28,110,"화장실, 개수대, 샤워실",0
42,그루터기 캠핑장,2487.0,25,100,화장실1+샤워실1,0
43,금대에코힐링캠핑장,22100.0,50,200,화장실+취사장+샤워장,0
44,금방아 민박 캠핑장,2262.0,30,120,"화장실, 샤워실, 개수대",0
45,금산국민여가캠핑장,7122.0,25,100,카라반+관리실+화장실+정자,0
46,금산국민여가캠핑장,7122.0,25,100,"카라반, 관리실,화장실, 정자 등",0
47,금산인삼골오토캠핑장,166000.0,55,220,관리동+화장실+샤워실+개수대,0
48,금산인삼골오토캠핑장,166000.0,55,220,"관리동, 화장실,샤워실, 개수대 등",0
49,금수문화공원야영장,50592.0,73,365,화장실+샤워실+급수대,0
50,금헌힐링캠핑장,,79,316,"화장실,샤워실,취사장",0
51,김천부항댐 산내들 오토캠핑장,62000.0,52,208,전기시설+상하수도시설+샤워실,0
52,김포한강오토캠핑장,20748.0,95,585,샤워실15,0
53,김포황토테마파크,2515.0,11,55,샤워실3,0
54,김해생림오토캠핑장,38000.0,93,372,"화장실, 샤워실",0
55,깊은골캠핑장,6394.0,42,200,화장실취사장샤워장,0
56,꿈애오토캠핑장,5317.0,28,112,전기시설+상하수도+화장실+샤워장,0
57,나린오토캠핑장,5000.0,1,316,전기시설+상하수도시설+샤워실,0
58,낙동강 레포츠밸리 강변오토캠핑장,,29,105,전기시설+상하수도시설+화장실+샤워실+취사시설,0
59,낙동강 레포츠밸리 구지오토캠핑장,,23,130,전기시설+상하수도시설+화장실+샤워실+취사시설,0
60,낙산해변야영장,4583.0,15,45,화장실1+샤워실1,0
61,남산공원 오토캠핑장,11168.0,44,176,"화장실, 샤워실, 취사장",0
62,남산공원오토캠핑장,11168.0,41,164,"화장실, 샤워실, 취사장",0
63,남원백두대간국민여가캠핑장,24506.0,31,150,샤워장+음수대+화장실,0
64,내원자동차야영장,,53,212,"화장실,샤워실,취사장2",0
65,노동오토캠핑장,5131.0,9,36,샤워시설,0
66,놀터캠핑장,6047.0,21,84,"화장실, 샤워실, 취사장",0
67,놀터캠핑장,,21,84,"화장실, 샤워실, 취사장",0
68,농사체험자동차야영장,,15,60,공동취사장. 화장실. 샤워실 등,0
69,농월정오토캠핑장,,31,124,-,0
70,늘푸른체험학교캠핑장,11460.0,40,1,"상하수도, 전기, 화장실, 취사, 샤워실",0
71,다인카라반,1523.0,3,18,상하수도+전기+화장실+취사실+샤워실,0
72,달궁자동차야영장,28470.0,200,500,취사장+음수대+화장실+집회장+전기시설,0
73,달서별빛캠프 캠핑장,22900.0,49,400,화장실+샤워실+취사장+물놀이장+놀이터,0
74,달콤한 캠핑장,5752.0,40,20,화장실+취사시설+,0
75,당항포관광지 오토캠핑장,34000.0,237,948,"화장실, 샤워실, 취사장",0
76,당항포관광지오토캠핑장,49000.0,318,1272,"화장실, 샤워실, 취사장",0
77,대가야농촌문화체험특구 카라반,310.76,1,60,"화장실, 취사장",0
78,대가야농촌문화체험특구 캠핑장,11177.0,100,500,"관리동, 음식점, 화장실",0
79,대가야역사테마관광지 캠핑장,4617.0,25,150,"화장실, 취사실, 샤워실",0
80,대강오토캠핑장,11268.0,41,164,샤워시설,0
81,대관령솔내음오토캠핑장,13071.0,55,220,전기시설+상하수도시설,0
82,대왕암공원 캠핑장,13000.0,53,318,전기시설+샤워장+세척장+화장실,0
83,대왕암공원 캠핑장,13000.0,53,318,전기시설+샤워장+세척장+화장실,0
84,대장경오토캠핑장,21824.0,46,184,전기시설+상하수도시설+방송시설,0
85,대저생태공원캠핑장,43120.0,75,375,"매점, 파고라, 화장실, 샤워실",0
86,대저캠핑장,50850.0,111,600,"화장실,샤워장,개수장",0
87,대풍바위 오토캠핑장,2935.0,19,90,샤워실+화장실+취사시설,0
88,덕동자동차야영장,7242.0,58,230,음수대+화장실,0
89,덕유대자동차야영장,20400.0,74,296,화장실샤워실,0
90,돌고래하우스,,4,16,관리동(주택),0
91,동강리오토캠핑장,,42,210,족구장,0
92,동강리오토캠핑장,50000.0,42,168,족구장2+샤워장2+취사실+화장실2,0
93,동해망상오토캠핑리조트,83554.0,59,64,전기시설+상하수도시설+샤워실+화장실,0
94,등억알프스야영장,41248.0,48,400,전기시설+화장실+취사시설+샤워실,0
95,등억알프스야영장,41248.0,48,400,전기시설+화장실+취사시설+샤워실,0
96,로하스가족공원캠핑장,37678.0,40,200,"편의점, 바비큐장, 샤워부스, 개수대",0
97,마레보카라반,330.0,1,8,상하수도+전기+화장실+취사실+샤워실,0
98,마령 큰시내들 캠핑장,7460.0,35,120,화장실2동+샤워장2동+취사장1동,0
99,망상오토캠핑리조트,83554.0,59,64,전기시설+상하수도시설+샤워실+화장실,0
100,망상오토캠핑리조트 제2오토캠핑장,25000.0,17,41,전기시설+상하수도시설+샤워실+화장실,0
101,망상제2오토캠핑장,25000.0,17,41,전기시설+상하수도시설+샤워실+화장실,0
102,매봉힐링쉼터오토캠핑장,5573.0,25,100,화장실+취사장+샤워장,0
103,메이더카라반,2088.0,8,24,상하수도+전기+화장실+취사실+샤워실,0
104,몬테비얀코,,43,172,"화장실, 샤워실, 매점",0
105,몽산포자동차야영장,33016.0,159,600,하수도시설,0
106,몽산포자동차야영장,33016.0,159,600,하수도시설,0
107,묘솔캠핑장,1354.0,10,80,상하수도+전기시설+화장실+취사시설+샤워실 등,0
108,무거카라반,903.0,4,12,상하수도+전기+화장실+취사실+샤워실,0
109,무녀도오토캠핑장,9960.0,36,150,샤워부스+개수대+남자화장실+여자화장실+화로대+전기시설,0
110,무안황토갯벌랜드 오토캠핑장,28394.0,57,228,"상.하수도, 전기, 화장실, 샤워실",0
111,무주계곡오토캠핑장,2963.0,25,88,화장실샤워실,0
112,무창포카라반파크,,9,45,전기시설+화장실+취사시설+샤워실,0
113,무창포카라반파크,3265.0,9,54,상하수도+전기+화장실,0
114,무창포해수욕장 오토캠핑장,,8,40,전기시설+화장실+취사시설+샤워실,0
115,무창포해수욕장오토캠핑장,6509.0,37,150,상하수도+전기+화장실,0
116,물새롬랜드오토캠핑장,15206.0,4,160,전기시설+상하수도시설+샤워실,0
